page_unit,domain,risk,title,tags,terms,learning_focus
295,NGN Case Reasoning,high-review,Page Unit 295: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
296,OSCE Transition,medium-review,Page Unit 296: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
297,Priority and Delegation,medium-review,Page Unit 297: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
298,Question Language,medium-review,Page Unit 298: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
299,Pharmacology Safety,high-review,Page Unit 299: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
300,Maternal-Child Safety,high-review,Page Unit 300: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
301,Mental Health Communication,high-review,Page Unit 301: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
302,Safety and Infection Control,high-review,Page Unit 302: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
303,NGN Case Reasoning,high-review,Page Unit 303: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
304,OSCE Transition,medium-review,Page Unit 304: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
305,Priority and Delegation,medium-review,Page Unit 305: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
306,Question Language,medium-review,Page Unit 306: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
307,Pharmacology Safety,high-review,Page Unit 307: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
308,Maternal-Child Safety,high-review,Page Unit 308: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
309,Mental Health Communication,high-review,Page Unit 309: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
310,Safety and Infection Control,high-review,Page Unit 310: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
311,NGN Case Reasoning,high-review,Page Unit 311: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
312,OSCE Transition,medium-review,Page Unit 312: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
313,Priority and Delegation,medium-review,Page Unit 313: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
314,Question Language,medium-review,Page Unit 314: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
315,Pharmacology Safety,high-review,Page Unit 315: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
316,Maternal-Child Safety,high-review,Page Unit 316: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
317,Mental Health Communication,high-review,Page Unit 317: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
318,Safety and Infection Control,high-review,Page Unit 318: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
319,NGN Case Reasoning,high-review,Page Unit 319: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
320,OSCE Transition,medium-review,Page Unit 320: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
321,Priority and Delegation,medium-review,Page Unit 321: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
322,Question Language,medium-review,Page Unit 322: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
323,Pharmacology Safety,high-review,Page Unit 323: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
324,Maternal-Child Safety,high-review,Page Unit 324: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
325,Mental Health Communication,high-review,Page Unit 325: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
326,Safety and Infection Control,high-review,Page Unit 326: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
327,NGN Case Reasoning,high-review,Page Unit 327: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
328,OSCE Transition,medium-review,Page Unit 328: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
329,Priority and Delegation,medium-review,Page Unit 329: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
330,Question Language,medium-review,Page Unit 330: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
331,Pharmacology Safety,high-review,Page Unit 331: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
332,Maternal-Child Safety,high-review,Page Unit 332: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
333,Mental Health Communication,high-review,Page Unit 333: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
334,Safety and Infection Control,high-review,Page Unit 334: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
335,NGN Case Reasoning,high-review,Page Unit 335: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
336,OSCE Transition,medium-review,Page Unit 336: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
337,Priority and Delegation,medium-review,Page Unit 337: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
338,Question Language,medium-review,Page Unit 338: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
339,Pharmacology Safety,high-review,Page Unit 339: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
340,Maternal-Child Safety,high-review,Page Unit 340: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
341,Mental Health Communication,high-review,Page Unit 341: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
342,Safety and Infection Control,high-review,Page Unit 342: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
343,NGN Case Reasoning,high-review,Page Unit 343: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
344,OSCE Transition,medium-review,Page Unit 344: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
345,Priority and Delegation,medium-review,Page Unit 345: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
346,Question Language,medium-review,Page Unit 346: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
347,Pharmacology Safety,high-review,Page Unit 347: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
348,Maternal-Child Safety,high-review,Page Unit 348: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
349,Mental Health Communication,high-review,Page Unit 349: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
350,Safety and Infection Control,high-review,Page Unit 350: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
351,NGN Case Reasoning,high-review,Page Unit 351: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
352,OSCE Transition,medium-review,Page Unit 352: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
353,Priority and Delegation,medium-review,Page Unit 353: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
354,Question Language,medium-review,Page Unit 354: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
355,Pharmacology Safety,high-review,Page Unit 355: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
356,Maternal-Child Safety,high-review,Page Unit 356: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
357,Mental Health Communication,high-review,Page Unit 357: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
358,Safety and Infection Control,high-review,Page Unit 358: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
359,NGN Case Reasoning,high-review,Page Unit 359: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
360,OSCE Transition,medium-review,Page Unit 360: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
361,Priority and Delegation,medium-review,Page Unit 361: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
362,Question Language,medium-review,Page Unit 362: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
363,Pharmacology Safety,high-review,Page Unit 363: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
364,Maternal-Child Safety,high-review,Page Unit 364: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
365,Mental Health Communication,high-review,Page Unit 365: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
366,Safety and Infection Control,high-review,Page Unit 366: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
367,NGN Case Reasoning,high-review,Page Unit 367: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
368,OSCE Transition,medium-review,Page Unit 368: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
369,Priority and Delegation,medium-review,Page Unit 369: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
370,Question Language,medium-review,Page Unit 370: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
371,Pharmacology Safety,high-review,Page Unit 371: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
372,Maternal-Child Safety,high-review,Page Unit 372: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
373,Mental Health Communication,high-review,Page Unit 373: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
374,Safety and Infection Control,high-review,Page Unit 374: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
375,NGN Case Reasoning,high-review,Page Unit 375: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
376,OSCE Transition,medium-review,Page Unit 376: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
377,Priority and Delegation,medium-review,Page Unit 377: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
378,Question Language,medium-review,Page Unit 378: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
379,Pharmacology Safety,high-review,Page Unit 379: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
380,Maternal-Child Safety,high-review,Page Unit 380: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
381,Mental Health Communication,high-review,Page Unit 381: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
382,Safety and Infection Control,high-review,Page Unit 382: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
383,NGN Case Reasoning,high-review,Page Unit 383: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
384,OSCE Transition,medium-review,Page Unit 384: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
385,Priority and Delegation,medium-review,Page Unit 385: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
386,Question Language,medium-review,Page Unit 386: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
387,Pharmacology Safety,high-review,Page Unit 387: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
388,Maternal-Child Safety,high-review,Page Unit 388: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
389,Mental Health Communication,high-review,Page Unit 389: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
390,Safety and Infection Control,high-review,Page Unit 390: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
391,NGN Case Reasoning,high-review,Page Unit 391: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
392,OSCE Transition,medium-review,Page Unit 392: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
393,Priority and Delegation,medium-review,Page Unit 393: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
